104527,Stan Wawrinka,Null,SUI,183.0,R,1985
105583,Dusan Lajovic,M,SRB,180.0,R,1990
105732,Pierre Hugues Herbert,M,FRA,188.0,R,1991
105916,Marton Fucsovics,M,HUN,188.0,R,1991
126094,Andrey Rublev,M,RUS,188.0,R,1997
111797,Nicolas Jarry,M,CHI,Null,R,1995
104198,Guillermo Garcia Lopez,M,ESP,188.0,R,1983
105575,Ricardas Berankis,M,LTU,175.0,R,1990
105550,Guido Pella,M,ARG,185.0,L,1990
104269,Fernando Verdasco,M,ESP,188.0,L,1983
109739,Maximilian Marterer,M,GER,Null,L,1995
106000,Damir Dzumhur,M,BIH,172.0,R,1992
105657,Marius Copil,M,ROU,193.0,R,1990
104312,Andreas Seppi,M,ITA,190.0,R,1983
105077,Albert Ramos,M,ESP,188.0,L,1987
111575,Karen Khachanov,M,RUS,198.0,R,1996
104898,Robin Haase,M,NED,190.0,R,1987
122570,Mubarak Shannan Zayid,M,QAT,Null,U,1995
126610,Matteo Berrettini,M,ITA,196.0,R,1996
105676,David Goffin,M,BEL,163.0,R,1990
105173,Adrian Mannarino,M,FRA,183.0,L,1988
117356,Cem Ilkel,M,TUR,Null,R,1995
104660,Sergiy Stakhovsky,M,UKR,193.0,R,1985
103893,Paolo Lorenzi,M,ITA,183.0,R,1981
104259,Philipp Kohlschreiber,M,GER,178.0,R,1983
105376,Peter Gojowczyk,M,GER,185.0,R,1989
106233,Dominic Thiem,M,AUT,185.0,R,1993
110602,Dennis Novak,M,AUT,Null,R,1993
106325,Jabor Al Mutawa,M,QAT,Null,U,1996
104571,Marcos Baghdatis,M,CYP,183.0,R,1987
104586,Lukas Rosol,M,CZE,196.0,R,1985
104868,James Ward,M,GBR,190.0,R,1987
126237,Gian Marco Moroni,M,ITA,Null,R,1998
105806,Mirza Basic,M,BIH,Null,R,1991
104897,Matthias Bachinger,M,GER,188.0,R,1987
105477,Marco Trungelliti,M,ARG,Null,R,1990
110476,Mousa Shanan Zayed,M,QAT,Null,U,1994
105063,Andrea Arnaboldi,M,ITA,Null,L,1987
